                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3781,                0.66049,                 0.9911,                0.88513,                0.65747,                0.74242,                0.40694,                 1.3573,                0.59201,                0.96297,              0.0028027,              0.0028027,              0.0028027
                     67,                 1.3696,                0.65465,                0.99367,                0.88079,                 0.6588,                0.74307,                0.40856,                 1.3561,                0.58997,                 0.9635,              0.0026653,              0.0026653,              0.0026653
                     68,                 1.3713,                0.65847,                0.99076,                0.88175,                0.65737,                0.74237,                  0.406,                 1.3608,                0.59101,                0.96338,              0.0025302,              0.0025302,              0.0025302
                     69,                 1.3737,                0.65901,                0.99149,                0.87897,                0.66221,                 0.7453,                0.40754,                 1.3561,                0.58924,                0.96315,              0.0023977,              0.0023977,              0.0023977
                     70,                 1.3788,                0.66254,                 0.9938,                0.88275,                 0.6596,                0.74404,                0.40731,                 1.3565,                0.58918,                0.96428,              0.0022677,              0.0022677,              0.0022677
                     71,                 1.3726,                0.65593,                0.98899,                0.88064,                0.65834,                0.74366,                0.40922,                 1.3557,                0.58889,                0.96443,              0.0021405,              0.0021405,              0.0021405
                     72,                 1.3664,                 0.6542,                 0.9917,                0.88091,                 0.6574,                0.74323,                 0.4096,                 1.3512,                 0.5887,                0.96469,              0.0020161,              0.0020161,              0.0020161
                     73,                 1.3747,                0.65461,                0.98925,                0.88094,                0.65761,                0.74395,                 0.4094,                 1.3532,                0.58937,                0.96417,              0.0018948,              0.0018948,              0.0018948
                     74,                 1.3626,                0.65027,                0.98602,                 0.8756,                0.65758,                0.74253,                0.40837,                 1.3545,                0.59064,                0.96438,              0.0017765,              0.0017765,              0.0017765
                     75,                 1.3574,                0.64441,                0.98899,                0.87625,                0.66152,                0.74388,                0.41036,                 1.3538,                0.58883,                0.96486,              0.0016615,              0.0016615,              0.0016615
                     76,                  1.364,                0.64996,                0.98532,                0.87406,                0.66589,                0.74523,                0.41137,                 1.3515,                0.58792,                0.96488,              0.0015498,              0.0015498,              0.0015498
                     77,                 1.3637,                0.64845,                 0.9873,                 0.8718,                0.66823,                0.74581,                0.41188,                 1.3517,                0.58662,                 0.9649,              0.0014416,              0.0014416,              0.0014416
                     78,                 1.3522,                0.64058,                 0.9896,                 0.8688,                0.66674,                0.74505,                0.41083,                 1.3571,                0.58626,                0.96603,               0.001337,               0.001337,               0.001337
                     79,                 1.3517,                0.64259,                0.98602,                0.86717,                0.66747,                0.74478,                0.41082,                 1.3572,                0.58737,                0.96541,               0.001236,               0.001236,               0.001236
                     80,                 1.3511,                  0.638,                0.98557,                0.86719,                0.66758,                0.74554,                 0.4103,                 1.3585,                0.58596,                0.96569,              0.0011387,              0.0011387,              0.0011387
